Observationsstation;År;Månad;Dag;Tid [Lokal tid];Lufttemperatur [°C];Daggpunktstemperatur [°C];Molnighet [1/8];Lufttryck [hPa];Relativ luftfuktighet [%];Nederbördsmängd [mm];Snödjup [cm];Horisontell sikt [m];Vindriktning [°];Byvindshastighet [m/s];Vindhastighet [m/s]
Helsingfors Kajsaniemi;2025;1;1;20:30;-3,8;-5,1;Molnigt (7/8);983,2;90;0;5;50000;330;5,4;3,9
Helsingfors Kajsaniemi;2025;1;1;20:40;-3,9;-5,2;Molnigt (6/8);983,1;91;0;5;49170;331;4,7;3,4
Helsingfors Kajsaniemi;2025;1;1;20:50;-4;-5,3;Molnigt (6/8);983;91;0;5;50000;330;5;3,2
Helsingfors Kajsaniemi;2025;1;1;21:00;-4,1;-5,3;Molnigt (6/8);983;91;0;5;50000;328;4,8;3,3
Helsingfors Kajsaniemi;2025;1;1;21:10;-4,1;-5,3;Molnigt (7/8);983,1;91;0;5;50000;330;5,6;3,8
Helsingfors Kajsaniemi;2025;1;1;21:20;-4,1;-5,4;Molnigt (7/8);983;91;0;5;50000;332;5,3;3,6
Helsingfors Kajsaniemi;2025;1;1;21:30;-4;-5,4;Mulet (8/8);982,8;90;0;5;50000;333;5,3;3,5
Helsingfors Kajsaniemi;2025;1;1;21:40;-4,1;-5,4;Mulet (8/8);982,8;90;0;5;50000;341;6,5;3,6
Helsingfors Kajsaniemi;2025;1;1;21:50;-4,1;-5,6;Mulet (8/8);982,8;89;0;5;50000;341;6;3,8
Helsingfors Kajsaniemi;2025;1;1;22:00;-4;-5,5;Mulet (8/8);982,8;89;0;5;50000;336;5,9;3,6
Helsingfors Kajsaniemi;2025;1;1;22:10;-4;-5,4;Mulet (8/8);982,7;90;0;5;47530;341;7,1;4
Helsingfors Kajsaniemi;2025;1;1;22:20;-3,9;-5,4;Mulet (8/8);982,5;89;0;5;47640;352;6,4;3,6
Helsingfors Kajsaniemi;2025;1;1;22:30;-3,9;-5,4;Mulet (8/8);982,6;89;0;5;50000;353;6,1;3,6
Helsingfors Kajsaniemi;2025;1;1;22:40;-3,9;-5,5;Mulet (8/8);982,6;88;0;5;50000;355;6,4;3,6
